用户ID,性别,年龄,注册时间,所在城市,注册设备,会员等级
1001,男,28,2022-03-15,北京,华为,黄金
1002,女,,2022-05-20,上海,苹果,白银
1003,,35,2022-01-10,广州,小米,青铜
1004,男,42,2021-11-05,深圳,OPPO,黄金
1005,女,23,2022-06-30,杭州,vivo,白银
1006,,19,2022-02-18,成都,其他,青铜
1007,男,55,2021-09-03,武汉,华为,黄金
1008,女,31,2022-04-25,南京,苹果,白银
1009,男,26,2022-07-12,重庆,小米,青铜
1010,,38,2021-12-08,西安,OPPO,黄金
1011,女,29,2022-03-22,青岛,vivo,白银
1012,男,45,2021-10-15,沈阳,其他,青铜
1013,,22,2022-05-05,长沙,华为,黄金
1014,女,33,2022-01-28,郑州,苹果,白银
1015,男,17,2022-06-18,济南,小米,青铜
1016,,36,2021-11-30,合肥,OPPO,黄金
1017,女,48,2022-02-14,福州,vivo,白银
1018,男,27,2022-04-09,昆明,其他,青铜
1019,,30,2021-09-25,哈尔滨,华为,黄金
1020,女,52,2022-07-03,石家庄,苹果,白银
1021,男,65,2021-12-20,苏州,小米,青铜
1022,女,24,2022-03-08,无锡,OPPO,黄金
1023,,39,2022-05-15,常州,vivo,白银
1024,男,43,2021-10-05,南通,其他,青铜
1025,女,21,2022-01-18,扬州,华为,黄金
1026,男,150,2022-06-25,徐州,苹果,白银
1027,,29,2022-02-05,泉州,小米,青铜
1028,女,34,2021-09-12,温州,OPPO,黄金
1029,男,-5,2022-04-19,绍兴,vivo,白银
1030,女,41,2021-11-15,台州,其他,青铜
