用户ID,性别,年龄,注册时间,所在城市,注册设备,会员等级,注册时长(天),年龄分组
1001,男,28.0,2022-03-15,北京,华为,黄金,119,中青年(25-34)
1002,女,32.0,2022-05-20,上海,苹果,白银,53,中青年(25-34)
1003,女,35.0,2022-01-10,广州,小米,青铜,183,中年(35-49)
1004,男,42.0,2021-11-05,深圳,OPPO,黄金,249,中年(35-49)
1005,女,23.0,2022-06-30,杭州,vivo,白银,12,青年(18-24)
1006,男,19.0,2022-02-18,成都,其他,青铜,144,青年(18-24)
1007,男,55.0,2021-09-03,武汉,华为,黄金,312,老年(≥50)
1008,女,31.0,2022-04-25,南京,苹果,白银,78,中青年(25-34)
1009,男,26.0,2022-07-12,重庆,小米,青铜,0,中青年(25-34)
1010,女,38.0,2021-12-08,西安,OPPO,黄金,216,中年(35-49)
1011,女,29.0,2022-03-22,青岛,vivo,白银,112,中青年(25-34)
1012,男,45.0,2021-10-15,沈阳,其他,青铜,270,中年(35-49)
1013,男,22.0,2022-05-05,长沙,华为,黄金,68,青年(18-24)
1014,女,33.0,2022-01-28,郑州,苹果,白银,165,中青年(25-34)
1015,男,17.0,2022-06-18,济南,小米,青铜,24,少年(<18)
1016,男,36.0,2021-11-30,合肥,OPPO,黄金,224,中年(35-49)
1017,女,48.0,2022-02-14,福州,vivo,白银,148,中年(35-49)
1018,男,27.0,2022-04-09,昆明,其他,青铜,94,中青年(25-34)
1019,男,30.0,2021-09-25,哈尔滨,华为,黄金,290,中青年(25-34)
1020,女,52.0,2022-07-03,石家庄,苹果,白银,9,老年(≥50)
1021,男,65.0,2021-12-20,苏州,小米,青铜,204,老年(≥50)
1022,女,24.0,2022-03-08,无锡,OPPO,黄金,126,青年(18-24)
1023,男,39.0,2022-05-15,常州,vivo,白银,58,中年(35-49)
1024,男,43.0,2021-10-05,南通,其他,青铜,280,中年(35-49)
1025,女,21.0,2022-01-18,扬州,华为,黄金,175,青年(18-24)
1026,男,33.0,2022-06-25,徐州,苹果,白银,17,中青年(25-34)
1027,男,29.0,2022-02-05,泉州,小米,青铜,157,中青年(25-34)
1028,女,34.0,2021-09-12,温州,OPPO,黄金,303,中青年(25-34)
1029,男,33.0,2022-04-19,绍兴,vivo,白银,84,中青年(25-34)
1030,女,41.0,2021-11-15,台州,其他,青铜,239,中年(35-49)
